Pays,Substance,Message
Albanie,Safrole,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Chloroéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Chloropseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Ephédrine (matiére premiére),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Pseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Noréphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Ergométrine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Ergotamine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide lysergique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Huile de sassafras,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,N-phénylpipéridine-4-amine,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Anhydride acétique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Phosphore rouge,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Acide phénylacétique,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide anthranilique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Pipéridine,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Permanganate de potassium,Autorisation d'exportation requise sans autorisation à l'importation.
Albanie,Acide chlorhydrique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Acide sulfurique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Toluéne,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Ether éthylique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Acétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Méthyléthylcétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Albanie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Albanie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Albanie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Albanie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Alpha-phénylacétoacétonitrile,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Algérie,Anhydride acétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Algérie,Acide phénylacétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Acide anthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Pipéridine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Permanganate de potassium,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Acide chlorhydrique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Algérie,Acide sulfurique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Algérie,Toluéne,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Ether éthylique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Acétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Méthyléthylcétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Algérie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Alpha-phénylacétoacétonitrile,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Allemagne,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Allemagne,Anhydride acétique,Autorisation d'exportation requise sans autorisation à l'importation.
Allemagne,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Allemagne,Acide phénylacétique,Autorisation d'exportation requise sans autorisation à l'importation.
Allemagne,Acide anthranilique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Pipéridine,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Permanganate de potassium,Autorisation d'exportation requise sans autorisation à l'importation.
Allemagne,Acide chlorhydrique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Acide sulfurique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Toluéne,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Ether éthylique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Acétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Méthyléthylcétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Allemagne,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Allemagne,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Allemagne,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Allemagne,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Autriche,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Alpha-phénylacétoacétonitrile,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Autriche,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Autriche,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
